Entity,Code,Year,Historical and more recent literacy estimates
Belgium,BEL,1475,10.0
France,FRA,1475,6.0
Germany,DEU,1475,9.0
Ireland,IRL,1475,0.0
Italy,ITA,1475,15.0
Netherlands,NLD,1475,17.0
Poland,POL,1475,0.0
Spain,ESP,1475,3.0
Sweden,SWE,1475,1.0
United Kingdom,GBR,1475,5.0
Belgium,BEL,1550,17.0
France,FRA,1550,19.0
Germany,DEU,1550,16.0
Ireland,IRL,1550,0.0
Italy,ITA,1550,18.0
Netherlands,NLD,1550,12.0
Poland,POL,1550,0.0
Spain,ESP,1550,4.0
Sweden,SWE,1550,1.0
United Kingdom,GBR,1550,16.0
Belgium,BEL,1650,25.0
France,FRA,1650,29.0
Germany,DEU,1650,31.0
Ireland,IRL,1650,3.0
Italy,ITA,1650,23.0
Netherlands,NLD,1650,53.0
Poland,POL,1650,3.0
Spain,ESP,1650,5.0
Sweden,SWE,1650,23.0
United Kingdom,GBR,1650,53.0
Belgium,BEL,1750,13.0
France,FRA,1750,29.0
Germany,DEU,1750,38.0
Ireland,IRL,1750,21.0
Italy,ITA,1750,23.0
Netherlands,NLD,1750,85.0
Poland,POL,1750,5.0
Spain,ESP,1750,8.0
Sweden,SWE,1750,48.0
United Kingdom,GBR,1750,54.0
France,FRA,1820,38.0
Italy,ITA,1820,22.0
Russia,RUS,1820,8.0
Spain,ESP,1820,20.0
Sweden,SWE,1820,75.0
United Kingdom,GBR,1820,53.0
World,OWID_WRL,1820,12.0
France,FRA,1870,69.0
Italy,ITA,1870,32.0
Russia,RUS,1870,15.0
Spain,ESP,1870,30.0
Sweden,SWE,1870,80.0
United Kingdom,GBR,1870,76.0
United States,USA,1870,80.0
World,OWID_WRL,1870,19.0
United States,USA,1880,83.0
World,OWID_WRL,1880,20.0
United States,USA,1890,86.7
World,OWID_WRL,1890,21.0
Argentina,ARG,1900,51.3
Bolivia,BOL,1900,18.0
Brazil,BRA,1900,35.0
Chile,CHL,1900,43.0
Colombia,COL,1900,34.0
Costa Rica,CRI,1900,36.0
Cuba,CUB,1900,46.0
Ecuador,ECU,1900,33.0
El Salvador,SLV,1900,26.0
Guatemala,GTM,1900,12.0
Haiti,HTI,1900,8.0
Honduras,HND,1900,28.0
Mexico,MEX,1900,24.0
Panama,PAN,1900,17.0
Paraguay,PRY,1900,31.0
Peru,PER,1900,24.0
United States,USA,1900,89.3
Uruguay,URY,1900,59.0
Venezuela,VEN,1900,28.0
World,OWID_WRL,1900,21.0
Argentina,ARG,1910,60.4
Bolivia,BOL,1910,20.0
Brazil,BRA,1910,35.0
Chile,CHL,1910,53.0
Colombia,COL,1910,39.0
Costa Rica,CRI,1910,46.0
Cuba,CUB,1910,57.0
Ecuador,ECU,1910,38.0
El Salvador,SLV,1910,27.0
Guatemala,GTM,1910,13.0
Haiti,HTI,1910,8.0
Honduras,HND,1910,30.0
Mexico,MEX,1910,30.0
Panama,PAN,1910,27.0
Paraguay,PRY,1910,38.0
Peru,PER,1910,29.0
