Entity,Code,Year,Historical and more recent literacy estimates
Belgium,BEL,1475,10
France,FRA,1475,6
Germany,DEU,1475,9
Ireland,IRL,1475,0
Italy,ITA,1475,15
Netherlands,NLD,1475,17
Poland,POL,1475,0
Spain,ESP,1475,3
Sweden,SWE,1475,1
United Kingdom,GBR,1475,5
Belgium,BEL,1550,17
France,FRA,1550,19
Germany,DEU,1550,16
Ireland,IRL,1550,0
Italy,ITA,1550,18
Netherlands,NLD,1550,12
Poland,POL,1550,0
Spain,ESP,1550,4
Sweden,SWE,1550,1
United Kingdom,GBR,1550,16
Belgium,BEL,1650,25
France,FRA,1650,29
Germany,DEU,1650,31
Ireland,IRL,1650,3
Italy,ITA,1650,23
Netherlands,NLD,1650,53
Poland,POL,1650,3
Spain,ESP,1650,5
Sweden,SWE,1650,23
United Kingdom,GBR,1650,53
Belgium,BEL,1750,13
France,FRA,1750,29
Germany,DEU,1750,38
Ireland,IRL,1750,21
Italy,ITA,1750,23
Netherlands,NLD,1750,85
Poland,POL,1750,5
Spain,ESP,1750,8
Sweden,SWE,1750,48
United Kingdom,GBR,1750,54
France,FRA,1820,38
Italy,ITA,1820,22
Russia,RUS,1820,8
Spain,ESP,1820,20
Sweden,SWE,1820,75
United Kingdom,GBR,1820,53
World,OWID_WRL,1820,12
France,FRA,1870,69
Italy,ITA,1870,32
Russia,RUS,1870,15
Spain,ESP,1870,30
Sweden,SWE,1870,80
United Kingdom,GBR,1870,76
United States,USA,1870,80
World,OWID_WRL,1870,19
United States,USA,1880,83
World,OWID_WRL,1880,20
United States,USA,1890,86.7
World,OWID_WRL,1890,21
Argentina,ARG,1900,51.3
Bolivia,BOL,1900,18
Brazil,BRA,1900,35
Chile,CHL,1900,43
Colombia,COL,1900,34
Costa Rica,CRI,1900,36
Cuba,CUB,1900,46
Ecuador,ECU,1900,33
El Salvador,SLV,1900,26
Guatemala,GTM,1900,12
Haiti,HTI,1900,8
Honduras,HND,1900,28
Mexico,MEX,1900,24
Panama,PAN,1900,17
Paraguay,PRY,1900,31
Peru,PER,1900,24
United States,USA,1900,89.3
Uruguay,URY,1900,59
Venezuela,VEN,1900,28
World,OWID_WRL,1900,21
Argentina,ARG,1910,60.4
Bolivia,BOL,1910,20
Brazil,BRA,1910,35
Chile,CHL,1910,53
Colombia,COL,1910,39
Costa Rica,CRI,1910,46
Cuba,CUB,1910,57
Ecuador,ECU,1910,38
El Salvador,SLV,1910,27
Guatemala,GTM,1910,13
Haiti,HTI,1910,8
Honduras,HND,1910,30
Mexico,MEX,1910,30
Panama,PAN,1910,27
Paraguay,PRY,1910,38
Peru,PER,1910,29
United States,USA,1910,92.3
Uruguay,URY,1910,65
Venezuela,VEN,1910,29
World,OWID_WRL,1910,26
Argentina,ARG,1920,68.2
Bolivia,BOL,1920,22
Brazil,BRA,1920,35
Chile,CHL,1920,63
Colombia,COL,1920,44
Costa Rica,CRI,1920,57
Cuba,CUB,1920,64
Dominican Republic,DOM,1920,29
Ecuador,ECU,1920,42
El Salvador,SLV,1920,27
Guatemala,GTM,1920,15
Haiti,HTI,1920,8
Honduras,HND,1920,32
Mexico,MEX,1920,35
Nicaragua,NIC,1920,39
Panama,PAN,1920,42
Paraguay,PRY,1920,45
Peru,PER,1920,33
United States,USA,1920,94
Uruguay,URY,1920,70
Venezuela,VEN,1920,32
World,OWID_WRL,1920,32
Argentina,ARG,1930,74.9
Bolivia,BOL,1930,25
Brazil,BRA,1930,39
Chile,CHL,1930,75
Colombia,COL,1930,52
Costa Rica,CRI,1930,67
Cuba,CUB,1930,71
Dominican Republic,DOM,1930,26
Ecuador,ECU,1930,46
El Salvador,SLV,1930,28
Guatemala,GTM,1930,19
Haiti,HTI,1930,8
Honduras,HND,1930,33
Mexico,MEX,1930,36
Nicaragua,NIC,1930,39
Panama,PAN,1930,46
Paraguay,PRY,1930,52
Peru,PER,1930,37
United States,USA,1930,95.7
Uruguay,URY,1930,76
Venezuela,VEN,1930,36
World,OWID_WRL,1930,33
Argentina,ARG,1940,81.7
Bolivia,BOL,1940,28
Brazil,BRA,1940,44
Chile,CHL,1940,73
Colombia,COL,1940,57
Costa Rica,CRI,1940,73
Cuba,CUB,1940,76
Dominican Republic,DOM,1940,30
Ecuador,ECU,1940,51
El Salvador,SLV,1940,35
Guatemala,GTM,1940,24
Haiti,HTI,1940,9
Honduras,HND,1940,35
Mexico,MEX,1940,46
Nicaragua,NIC,1940,38
Panama,PAN,1940,58
Paraguay,PRY,1940,59
Peru,PER,1940,42
United States,USA,1940,97.1
Uruguay,URY,1940,81
Venezuela,VEN,1940,42
World,OWID_WRL,1940,42
United States,USA,1947,97.3
Argentina,ARG,1950,87.6
Bolivia,BOL,1950,32
Brazil,BRA,1950,49
Chile,CHL,1950,79
Colombia,COL,1950,62
Costa Rica,CRI,1950,79
Cuba,CUB,1950,78
Dominican Republic,DOM,1950,43
Ecuador,ECU,1950,56
El Salvador,SLV,1950,42
Guatemala,GTM,1950,29
Haiti,HTI,1950,11
Honduras,HND,1950,40
Mexico,MEX,1950,60
Nicaragua,NIC,1950,38
Panama,PAN,1950,67
Paraguay,PRY,1950,66
Peru,PER,1950,51
United States,USA,1950,96.8
Uruguay,URY,1950,86
Venezuela,VEN,1950,51
World,OWID_WRL,1950,36
United States,USA,1952,97.5
United States,USA,1959,97.8
Argentina,ARG,1960,91.4
Bolivia,BOL,1960,44
Brazil,BRA,1960,60
Chile,CHL,1960,84
Colombia,COL,1960,70
Costa Rica,CRI,1960,83
Cuba,CUB,1960,79
Dominican Republic,DOM,1960,64
Ecuador,ECU,1960,65
El Salvador,SLV,1960,48
Guatemala,GTM,1960,35
Haiti,HTI,1960,16
Honduras,HND,1960,44
Mexico,MEX,1960,65
Nicaragua,NIC,1960,47
Panama,PAN,1960,73
Paraguay,PRY,1960,73
Peru,PER,1960,60
Uruguay,URY,1960,89
Venezuela,VEN,1960,62
World,OWID_WRL,1960,42
United States,USA,1969,99
Wallis and Futuna,WLF,1969,50
Argentina,ARG,1970,93
Barbados,BRB,1970,9.926.808
Bolivia,BOL,1970,58
Brazil,BRA,1970,68
Chile,CHL,1970,88
Colombia,COL,1970,78
Costa Rica,CRI,1970,88
Cuba,CUB,1970,89
Dominican Republic,DOM,1970,67
Ecuador,ECU,1970,74
El Salvador,SLV,1970,58
Grenada,GRD,1970,9.779.447
Guatemala,GTM,1970,45
Haiti,HTI,1970,22
